Failure_Number,Time,JM_Failure_Intensity,JM_MTBF,NHPP_Failure_Intensity,NHPP_MTBF,Weibull_Failure_Intensity,Weibull_MTBF,Reliability_JM,Availability_JM,Reliability_NHPP,Availability_NHPP,Reliability_Weibull,Availability_Weibull
32,6930.962552969287,2.1,0.47619047619047616,7.928884466052949e-31,1.261211465851774e+30,1.3961852377183384,0.716237339419382,7.582560427911907e-10,0.1923076923076923,0.00011758204880591227,1.0,0.588410711545831,0.26368731812385865
33,7335.364704241125,2.0500000000000003,0.4878048780487804,1.389683374962432e-32,7.195883738819524e+31,1.4363395570225785,0.6962142030488411,1.2501528663867382e-09,0.196078431372549,0.00011758204880591227,1.0,0.588410711545831,0.2582191734846481
34,7757.454698419918,2.0,0.5,2.0408087545465266e-34,4.900018180401244e+33,1.4770863664426,0.6770084828610192,2.061153622438558e-09,0.2,0.00011758204880591227,1.0,0.588410711545831,0.25289739916605525
35,8192.08615577717,1.9500000000000002,0.5128205128205128,2.6437590580357126e-36,3.782492950560291e+35,1.517901258749175,0.658804381534046,3.398267819495071e-09,0.2040816326530612,0.00011758204880591227,1.0,0.588410711545831,0.2477821934210657
36,8631.3438357325,1.9000000000000001,0.5263157894736842,3.270016976378481e-38,3.058088099308562e+37,1.5580646500706465,0.6418218909944832,5.602796437537268e-09,0.20833333333333334,0.00011758204880591227,1.0,0.588410711545831,0.24294669265265145
37,9081.712899961642,1.85,0.5405405405405405,3.6192785852874106e-40,2.762981562306536e+39,1.5981964063012444,0.6257053238621222,9.237449661970594e-09,0.21276595744680848,0.00011758204880591227,1.0,0.588410711545831,0.2382999029539914
38,9533.561718895988,1.8,0.5555555555555556,3.94700363167322e-42,2.533567468687832e+41,1.6374719030992555,0.6106975015005096,1.522997974471263e-08,0.2173913043478261,0.00011758204880591227,1.0,0.588410711545831,0.2339212034904498
39,9998.278972460115,1.75,0.5714285714285714,3.7846536135873875e-44,2.6422497330003277e+43,1.6769066643687742,0.596336111751588,2.5109991557439816e-08,0.22222222222222224,0.00011758204880591227,1.0,0.588410711545831,0.2296837104612302
40,10502.73506489941,1.7000000000000002,0.588235294117647,2.4389402683975475e-46,4.100141413701075e+45,1.7186896860698735,0.5818385995477167,4.139937718785167e-08,0.22727272727272727,0.00011758204880591227,1.0,0.588410711545831,0.22535823875653668
41,11012.944560495342,1.6500000000000001,0.606060606060606,1.4838482153619833e-48,6.73923376830056e+47,1.7599405267335928,0.5682010186196325,6.82560337633487e-08,0.2325581395348837,0.00011758204880591227,1.0,0.588410711545831,0.22124476024272882
42,11539.666744910175,1.6,0.625,7.65357067308932e-51,1.3065796903347281e+50,1.801535809248872,0.5550819444532371,1.1253517471925912e-07,0.23809523809523808,0.00011758204880591227,1.0,0.588410711545831,0.21724623965906475
43,12068.508890035297,1.55,0.6451612903225806,3.8648428766126967e-53,2.587427307980086e+52,1.8423539630924424,0.5427838624025713,1.855391362615978e-07,0.24390243902439024,0.00011758204880591227,1.0,0.588410711545831,0.21346047944858249
44,12616.250042643534,1.5,0.6666666666666666,1.6155568374477242e-55,6.189816271520424e+54,1.8836985758059848,0.5308704974585047,3.059023205018258e-07,0.25,0.00011758204880591227,1.0,0.588410711545831,0.2097580646625751
45,13169.116007798799,1.4500000000000002,0.689655172413793,6.415874537003932e-58,1.5586339699014397e+57,1.9245295209981617,0.5196075139867679,5.043476625678872e-07,0.2564102564102564,0.00011758204880591227,1.0,0.588410711545831,0.20622557723865267
46,13725.017229505765,1.4000000000000001,0.7142857142857142,2.471767012594654e-60,4.045688751830552e+59,1.9647292678123613,0.5089759776996937,8.315287191035664e-07,0.26315789473684204,0.00011758204880591227,1.0,0.588410711545831,0.2028620370316732
47,14294.165386907076,1.35,0.7407407407407407,8.341199154551126e-63,1.1988683898697945e+62,2.0050521227807563,0.49874015175881076,1.3709590863840845e-06,0.2702702702702703,0.00011758204880591227,1.0,0.588410711545831,0.19959664529653395
48,14863.618231123593,1.3,0.7692307692307692,2.806249048312711e-65,3.5634755960140505e+64,2.044600847966055,0.48909301832423097,2.2603294069810542e-06,0.27777777777777773,0.00011758204880591227,1.0,0.588410711545831,0.19649447197176678
49,15459.55719150458,1.25,0.8,7.244296057667455e-68,1.3803963725938386e+67,2.0851859533649906,0.479573535581438,3.7266531720786714e-06,0.28571428571428575,0.00011758204880591227,1.0,0.588410711545831,0.19340968464925248
50,16055.566749904128,1.2000000000000002,0.8333333333333333,1.8687859782409153e-70,5.3510675467572704e+69,2.1250007408023506,0.4705880712410591,6.144212353328199e-06,0.29411764705882354,0.00011758204880591227,1.0,0.588410711545831,0.19047613672184008
51,16668.565820316493,1.1500000000000001,0.8695652173913042,4.0676017916380894e-73,2.458451075657737e+72,2.1651868595952672,0.4618539021555522,1.0130093598630694e-05,0.303030303030303,0.00011758204880591227,1.0,0.588410711545831,0.18760410670639788
52,17286.285715735063,1.1,0.9090909090909091,8.445298619948292e-76,1.184090752738975e+75,2.2049416902835524,0.4535267324331835,1.670170079024566e-05,0.3125,0.00011758204880591227,1.0,0.588410711545831,0.1848468681583987
53,17923.936979355258,1.05,0.9523809523809523,1.4365831190786368e-78,6.960961650735235e+77,2.2452410283628055,0.4453864807241583,2.7536449349747158e-05,0.3225806451612903,0.00011758204880591227,1.0,0.588410711545831,0.18213337001530527
